Vehicle; Origin; Manufacturer; Mass to ... (kg); Mass to ... (kg); Mass to ... (kg); Launches (+  suborbital); Date of flight; Date of flight
Vehicle; Origin; Manufacturer; LEO; GTO; Other; Launches (+  suborbital); First; Last
Long March 3B;   China; CALT; 11,200[ 78]; 5,100; 5,700 to SSO; 12[ 79]; 1996; 2012
Long March 4A;   China; CALT; 4,000; ; ; 2[ 80]; 1988; 1990
M-V;   Japan; Nissan Motors[ 238] (1997–2000) IHI Aerospace[ 31] (2000–2006); 1,850[ 243]; ; ; 7; 1997; 2006
Molniya;   Soviet Union; RSC Energia; 1,800[ 248]; ; ; 40[ 249]; 1960; 1967
Molniya-M;   Soviet Union   Russia; RSC Energia; 2,400[ 250]; ; ; 280[ 251]; 1965; 2010
Mu-3C;   Japan; Nissan Motors[ 238]; 195[ 243]; ; ; 4; 1974; 1979
Mu-3H;   Japan; Nissan Motors[ 238]; 300[ 243]; ; ; 3; 1977; 1978
Mu-3S;   Japan; Nissan Motors[ 238]; 300[ 243]; ; ; 4; 1980; 1984
Mu-3SII;   Japan; Nissan Motors[ 238]; 770[ 243]; ; ; 8; 1985; 1995
Mu-4S;   Japan; Nissan Motors[ 238]; 180[ 243]; ; ; 4; 1971; 1972
N1;   Soviet Union; NPO Energia; 95,000[ note 38] [ 252] [ 253] [ 254]; ; ; 4[ 255] (never reached orbit); 1969; 1972
N-I;   Japan   United States; Mitsubishi; 1,200[ 256]; ; ; 7; 1975; 1982
N-II;   Japan   United States; Mitsubishi; 2,000[ 257]; ; ; 8; 1981; 1987
Naro-1;   South Korea   Russia; KARI/Khrunichev; 100[ 258]; ; ; 3; 2009; 2013
Paektusan;   North Korea; KCST; 700[ 259]; ; ; 0 (+1); 1998; 1998
Polyot;   Soviet Union; RSC Energia; 1,400; ; ; 2; 1963; 1964
Proton-K;   Soviet Union   Russia; Khrunichev; 19,760[ 260]; 4,930[ 261]; ; 311[ 262]; 1965; 2012
PSLV-G;   India; ISRO; 3,200[ 124]; 1,050; 1,600 to SSO; 12[ 124]; 1993; 2016[ 263]
Saturn I;   United States; Chrysler (S-I) Douglas (S-IV); 9,000[ 264]; ; ; 10[ 265]; 1961; 1965[ 265]
Saturn IB;   United States; Chrysler (S-IB) Douglas (S-IVB); 18,600[ 266]; ; ; 9[ 267]; 1966; 1975
Saturn V;   United States; Boeing (S-IC) North American  (S-II) Douglas  (S-IVB); 140,000[ 268] [ 269]; ; 47,000 to TLI[ 270]; 13[ 271] [ 272] [ note 39]; 1967; 1973
Scout;   United States; US Air Force/NASA; 174[ 273]; ; ; 125; 1961; 1994
Shtil';   Russia; Makeyev; 280–420[ 274]; ; ; 2[ 275]; 1998; 2006
SLV;   India; ISRO; 40[ 276]; ; ; 4[ 276]; 1979; 1983[ 276]
Soyuz;   Soviet Union; RSC Energia; 6,450; ; ; 31[ 277]; 1966; 1976
Soyuz-FG;   Russia; TsSKB-Progress; 6,900[ 278]; ; ; 70[ 134] [ 279]; 2001; 2019
Soyuz-L;   Soviet Union; RSC Energia; 5,500; ; ; 3[ 280]; 1970; 1971
Soyuz-M;   Soviet Union; RSC Energia; 6,600; ; ; 8[ 281]; 1971; 1976
Soyuz-U;   Soviet Union   Russia; TsSKB-Progress; 6,650 from Baikonour[ 282] 6,150 from Plesetsk[ 282]; ; ; 786[ 134] [ 135] [ 283]; 1973; 2017
Soyuz-U2;   Soviet Union   Russia; TsSKB-Progress; 7,050; ; ; 72[ 284]; 1982; 1995
Space Shuttle;   United States; ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter); 24,400[ note 35]; 4,944 with IUS[ 285] 1,200 with PAM-D[ 286]; 3,550 to escape with IUS[ 285]; 135[ 287]; 1981; 2011
Sputnik 8K71PS;   Soviet Union; RSC Energia; 500[ 288]; ; ; 2; 1957; 1957
Sputnik 8A91;   Soviet Union; RSC Energia; 1,327; ; ; 2; 1958; 1958
Start-1;   Russia; MITT; 532; ; 350 to SSO[ 289]; 5[ 290]; 1993; 2006
Strela;   Russia; Khrunichev; 1,400[ 291]; ; ; 3[ 292]; 2003; 2014
Titan II GLV;   United States; Martin Marietta; 3,600[ 293]; ; ; 11 (+1); 1964; 1966
Titan II(23)G;   United States; Martin Marietta; 3,600[ 294]; ; ; 13; 1988; 2003
Titan IIIA;   United States; Martin Marietta; 3,100[ 295]; ; ; 4; 1964; 1965
Titan IIIB;   United States; Martin Marietta; 3,000[ 296]; ; ; 70; 1966; 1987
Titan IIIC;   United States; Martin Marietta; 13,100[ 297]; ; ; 36; 1965; 1982
Titan IIID;   United States; Martin Marietta; 12,300[ 298]; ; ; 22; 1971; 1982
Titan IIIE;   United States; Martin Marietta; 15,400[ 299]; ; ; 7; 1974; 1977
Titan 34D;   United States; Martin Marietta; 4,515[ 300]; ; ; 15; 1982; 1989
Titan IVA;   United States; Martin Marietta; 17,110[ 301]; 4,944 with IUS; 14,090 to SSO[ 301] 4,536 to GSO with Centaur 3,550 to escape with IUS; 22[ 302]; 1989; 1998
Titan IVB;   United States; Lockheed Martin; 21,682[ 303]; 5,761[ 303] (9,000 with upper stage); ; 17[ 302]; 1997; 2005
Tsyklon-2A;   Soviet Union; Yuzhmash; 3,350[ 304]; ; ; 8[ 305]; 1967; 1969
Tsyklon-2;   Soviet Union   Ukraine; Yuzhmash; 2,820[ 306]; ; ; 106[ 307]; 1969; 2006[ 307]
Tsyklon-3;   Soviet Union   Ukraine; Yuzhmash; 1,920[ 308]; ; ; 122[ 309]; 1977; 2009[ 309]
Vanguard;   United States; Martin; 9[ 310]; ; ; 11 (+1); 1957; 1959
Vector-R[ note 40];   United States; Vector Space Systems; 64[ 312]; ; ; 0; Canceled[ 313]; 
Vector-H;   United States; Vector Space Systems; 160[ 311]; ; ; 0; Canceled[ 313]; 
VLS-1;   Brazil; AEB, IAE; 380[ 314]; ; ; 2[ note 41] (never reached orbit); 1997; 2003
Volna;   Russia; Makeyev; 100[ 315]; ; ; 1 (+5)[ 275]; 1995[ note 42]; 2005[ 275]
Voskhod;   Soviet Union; RSC Energia; 6,000[ 316]; ; ; 306; 1963; 1976
Vostok-L;   Soviet Union; RSC Energia; ; ; 390 to TLI[ 317]; 4; 1960; 1960
Vostok-K;   Soviet Union; RSC Energia; 2,460[ 318]; ; ; 16; 1960; 1964
Vostok-2;   Soviet Union; RSC Energia; 4,730[ 318]; ; ; 45; 1962; 1967
Vostok-2M;   Soviet Union; RSC Energia; 1,300[ 319]; ; ; 93; 1964; 1991
Soyuz/Vostok;   Soviet Union; RSC Energia; 6,000[ 320]; ; ; 2; 1965; 1966
Zenit-2;   Soviet Union   Ukraine; Yuzhnoye; 13,740[ 321]; ; ; 36[ 322]; 1985; 2004[ 323]
Zenit-2M / 2SLB;   Ukraine; Yuzhnoye; 13,920[ 321]; ; ; 2[ 322]; 2007; 2011
