; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
CSS2; border-spacing; 8.0; 12; 1.0; 125; Yes; 1.0
CSS2; caption-side; 8.0; 12; 1.4; 85; Yes; 1.0
CSS2; empty-cells; 8.0; 12; 1.0; 125; Yes; 1.0
CSS2; table-layout; 5.0; 12; 1.0; 85; Yes; 1.0
User interface; User interface; User interface; User interface; User interface; User interface; User interface; User interface
CSS2; cursor; 5.5; 12; 1.8; 125; Yes; Partial
CSS2; outline; 8.0; 12; 1.8; 125; Yes; 
CSS2; outline-color; 8.0; 12; 1.8; 1.0; 125; Yes
CSS2; outline-style; 8.0; 12; 1.8; 1.0; 125; Yes
CSS2; outline-width; 8.0; 12; 1.8; 1.0; 125; Yes
css-ui-3; outline-offset; No; No; 1.8; 125; 3.5; 2.1
css-ui-3; box-sizing; 8.0; 12; 29.0[ g 33]; Yes[ w 25]; 3.3.2; 1.0
css-ui-3; resize; No; No; 2.0[ g 34]; 525; No; No
css-ui-3; appearance; No; 12; Experimental; Experimental; No; No
css-ui-3; icon; No; No; No; No; No; 
css-ui-3; nav-index; No; No; No; No; No; 
css-ui-3; nav-up; No; No; No; 2.1; No; No
css-ui-3; nav-right; No; No; No; 2.1; No; No
css-ui-3; nav-down; No; No; No; 2.1; No; No
css-ui-3; nav-left; No; No; No; 2.1; No; No
css-ui-3; text-overflow; Partial; Partial; 7.0[ g 35]; Partial; 3.5.6; Experimental (Nightly)[ p 3]
Paged media; Paged media; Paged media; Paged media; Paged media; Paged media; Paged media; Paged media
CSS2; 
CSS2; page-break-before; 12; Partial; Partial; 3.5; 1.0; 
CSS2; 4.0; 12; Partial; Partial; 3.5; 1.0; page-break-after
CSS2; page-break-inside; 12; 19.0[ g 36]; 3.5; 1.0; 
CSS2; 8.0; 12; 312; orphans; 3.5; 1.0; 
widows; 8.0; 12; 312; 3.5; 1.0; 
css-page-3; page; No; No; No; No; No; No
css-page-3; size; No; No; No[ g 38]; No[ w 26]; No; 1.0
css-page-3; image-orientation; No; No; 26.0[ g 39]; No; No; No
css-page-3; object-fit; No; No; No; No; 
css-page-3; object-position; 36.0[ g 40]; No; No; 2.7[ p 4]; No; No
Speech; Speech; Speech; Speech; Speech; Speech; Speech; Speech
css3- speech (retired); cue; No; No; No[ g 41]; No; No; 1.0
css3- speech (retired); cue-after; No; No; No[ g 41]; No; No; 1.0
css3- speech (retired); cue-before; No; No; No[ g 41]; No; No; 1.0
