CSS2; E:active; Active; 8.0; 1.0; 12; 85; Yes; 1.0; 
CSS2; E:hover; Mouseover; 7.0; 12; 1.0; 419.3; Yes; 1.0; 
CSS2; E:focus; Focused; 8.0; 12; 1.0; Yes; Yes; 1.0; 
CSS2; E:first-child; First child; 7.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E:lang(); Language; 8.0; 12; 1.2; 525; 3.4; 1.0; 
CSS2; @page:first; First page; 12; No[ g 5]; Yes[ w 5]; No; 1.0; 
CSS2; @page:left; 8.0; 12; No[ g 5]; Yes[ w 5]; No; Left page; 1.0; 
CSS2; @page:right; 8.0; 12; No[ g 5]; Yes[ w 5]; No; Right page; 1.0; 
selectors-3; E:root; Root; 9.0; 12; 1.0; 85; 3.4; 2.1; 
selectors-3; E:not(); Negation; 9.0; 12; 1.0; 85; 3.4; 2.1; 
selectors-3; E:empty; Empty; 9.0; 12; 1.8; 412; 3.4; 2.1; 
selectors-3; E:first-of-type; First child of type; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:last-child; Last child; 9.0; 12; 1.0; 3.4; 2.1; 
selectors-3; E:last-of-type; Last child of type; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:only-child; Only child; 9.0; 12; 1.8; 3.4; 2.1; 
selectors-3; E:only-of-type; Only child of type; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:nth-child; Nth child; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:nth-last-child; Nth last child; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:nth-of-type; Nth child of type; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:nth-last-of-type; Nth last child of type; 9.0; 12; 1.9.1; 3.4; 2.1; 
selectors-3; E:target; Target; 9.0; 12; 1.3; 2.5; 3.4; 
selectors-3; E:enabled; Enabled state; 9.0; 12; 1.8; 3.4; 
selectors-3; E:disabled; Disabled state; 9.0; 12; 1.8; 3.4; 
selectors-3; E:checked; Checked state; 9.0; 12; 1.0; 3.4; 
selectors-4; E:indeterminate; Indeterminate state; 9.0; 12; 1.9.2; 522; No; No; 
selectors-4; E:default; Default; No; No; 1.9; Yes[ w 6]; 4.3; 
selectors-4; E:valid; Valid; 10.0[ t 5]; 12; Yes[ w 7]; No; 2.0; 
selectors-4; E:invalid; Invalid; 10.0[ t 6]; 1.8; Yes[ w 7]; No; 2.0; 12; 
selectors-4; E:in-range; In range; No; 1.8; 13; No; 2.0; 
selectors-4; E:out-of-range; Out of range; No; 1.8; Yes[ w 8]; No; 2.0; 13; 
selectors-4; E:required; Required; 10.0[ t 7]; 12; Yes[ w 9]; No; 2.0; 
selectors-4; E:optional; Optional; 10.0[ t 8]; 2.0[ g 6]; Yes[ w 9]; No; 2.0; 12; 
selectors-4; E:read-only; Read-only; No; 13; No; Incorrect; Incorrect; 
selectors-4; E:read-write; Read and write; No; Experimental[ g 7]; No; Incorrect; Incorrect; 13; 
selectors-4; E:not(s1, s2); Negations; No; No; No; No; No; 
selectors-4; E:matches(s1, s2); No; No; Matches-any; No; No; No; No[ g 8]; 
selectors-4; E:has(s1); No; No; Relational pseudo-class; No; No; No; No; 
selectors-4; E:dir(ltr); No; No; Directionality; No; No; No; 17[ g 9]; 
selectors-4; E:lang(zh, *-hant); No; No; Languages; No; No; No; No; 
selectors-4; E:any-link; No; No; Hyperlink; No; No; No; 50.0[ g 10]; 
selectors-4; E:local-link; No; No; Local link; No; No; No; 
selectors-4; E:local-link(0); No; No; Local link; No; No; No; 
selectors-4; E:scope; No; No; Contextual reference; No; No; No; 20[ g 11]; 
selectors-4; E:current; No; No; Time-dimensional  : current; No; No; No; 
selectors-4; E:current(s); No; No; Time-dimensional  : current; No; No; No; 
selectors-4; E:past; No; No; Time-dimensional  : past; No; No; No; 
selectors-4; E:future; No; No; Time-dimensional  : future; No; No; No; 
selectors-4; E:nth-match(n of selector); No; No; Nth child of; No; No; No; 
selectors-4; E:nth-last-match(n of selector); No; No; Nth last child of; No; No; No; 
selectors-4; E:column(selector); No; No; Column; No; No; No; 
selectors-4; E:nth-column(n); No; No; Nth column; No; No; No; 
selectors-4; E:nth-last-column(n); No; No; Nth last column; No; No; No; 
selectors-4; E:placeholder-shown; No; No; placeholder text; No; No; No; 
selectors-4; E:active-drop; No; No; will receive the item; No; No; No; 
selectors-4; E:valid-drop; No; No; could receive the item; No; No; No; 
selectors-4; E:invalid-drop; No; No; cannot receive the item; No; No; No; 
Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements; Pseudo-elements
CSS2; E:first-letter; First letter; 9.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E:first-line; First line; 9.0; 12; 1.0; Partial; Yes; 1.0; 
CSS2; E:before; Before; 1.9.1; 12; Partial; Yes; 1.0; 
CSS2; E:after; 8.0; 1.9.1; 12; Partial; After; Yes; 1.0; 
selectors-3; E::before; Double colon notation; 9.0; 12; 1.9.1; Partial; 3.4; 1.0; 
selectors-3; E::after; Double colon notation; 9.0; 12; 1.9.1; Partial; 3.4; 1.0; 
selectors-3; E::first-letter; Double colon notation; 9.0; 12; 85; 3.4; 1.0; 
selectors-3; E::first-line; 1.5; 9.0; 12; Double colon notation; Partial; 3.4; 1.0; 
css-pseudo-4; E::marker[ spec 5]; list marker; No; No; No; No; No; No; 
css-pseudo-4; E::selection; Selection; 9.0; 12; Experimental[ g 12]; 412; 3.4; 2.1; 
CSS UI pseudo elements [1]; E::value; user interface element fragments[ spec 6]; No; No; No; No; No; No; 
CSS UI pseudo elements [1]; E::choices; user interface element fragments[ spec 6]; No; No; No; No; No; No; 
CSS UI pseudo elements [1]; E::repeat-item; user interface element fragments[ spec 6]; No; No; No; No; No; No; 
CSS UI pseudo elements [1]; E::repeat-index; user interface element fragments[ spec 6]; No; No; No; No; No; No; 
; ; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto; 
