; ; Trident; Tasman; Gecko; WebKit; KHTML; Presto
DOM1; 4.0; Yes; rowSpan; 1.0; 1.0; ?; ?
DOM1; scope; ?; ?; 1.0; 1.0; ?; ?
DOM1; vAlign; Yes; ?; 1.0; 1.0; ?; 
DOM1; 4.0; Yes; width; 1.0; 1.0; ?; ?
Interface HTMLFrameSetElement; Interface HTMLFrameSetElement; Interface HTMLFrameSetElement; Interface HTMLFrameSetElement; Interface HTMLFrameSetElement; Interface HTMLFrameSetElement; Interface HTMLFrameSetElement; Interface HTMLFrameSetElement
DOM1; cols; 4.0; Yes; 1.0; ?; ?; 1.0
DOM1; rows; 4.0; Yes; 1.0; ?; ?; 1.0
Interface HTMLFrameElement; Interface HTMLFrameElement; Interface HTMLFrameElement; Interface HTMLFrameElement; Interface HTMLFrameElement; Interface HTMLFrameElement; Interface HTMLFrameElement; Interface HTMLFrameElement
DOM1; frameBorder; 4.0; Yes; 1.0; ?; ?; 1.0
DOM1; longDesc; 8.0; Yes; 1.0; ?; ?; 1.0
DOM1; marginHeight; ?; Yes; 1.0; ?; 1.0
DOM1; 6.0; marginWidth; Yes; 1.0; ?; ?; 1.0
DOM1; name; ?; Yes; 1.0; ?; 1.0
DOM1; 4.0; noResize; Yes; 1.0; ?; ?; 1.0
DOM1; 4.0; scrolling; Yes; 1.0; ?; ?; 1.0
DOM1; src; 8.0; Yes; 1.0; ?; ?; 1.0
DOM2; contentDocument; No; Yes; 1.0; ?; ?; 1.0
Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement; Interface HTMLIFrameSetElement
DOM1; align; 4.0; Yes; 1.0; ?; ?; 1.0
DOM1; frameBorder; ?; ?; 1.0; ?; ?; 1.0
DOM1; height; 4.0; ?; 1.0; ?; 1.0
DOM1; longDesc; Yes; 8.0; 1.0; ?; ?; 1.0
DOM1; marginHeight; Yes; ?; 1.0; ?; 1.0
DOM1; 4.0; Yes; marginWidth; 1.0; ?; ?; 1.0
DOM1; 4.0; Yes; name; 1.0; ?; ?; 1.0
DOM1; 4.0; Yes; scrolling; 1.0; ?; ?; 1.0
DOM1; src; Yes; 8.0; 1.0; ?; ?; 1.0
DOM1; width; Yes; 4.0; 1.0; ?; ?; 1.0
DOM2; contentDocument; Yes; No; 1.0; ?; ?; 1.0
