Graphics; Launch; Market; Processor; Code name; Device ID[ 3]; Clock rate (MHz); Core config1; API support[ 12] [ 31] [ 46] [ 47] [ 48]; API support[ 12] [ 31] [ 46] [ 47] [ 48]; API support[ 12] [ 31] [ 46] [ 47] [ 48]; API support[ 12] [ 31] [ 46] [ 47] [ 48]; eDRAM (MiB); Memory bandwidth (GB/s)
Graphics; Launch; Market; Processor; Code name; Device ID[ 3]; Clock rate (MHz); Core config1; Direct3D; OpenGL; OpenCL; Vulkan; eDRAM (MiB); Memory bandwidth (GB/s)
Iris Graphics 6100; 2015; Core i3-5157U; 162B; Broadwell (Gen8); 384:48:6 (GT3); 300–1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
Iris Graphics 6100; 2015; Core i5-5257U; 162B; Broadwell (Gen8); 384:48:6 (GT3); 300–1050; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
Iris Graphics 6100; 2015; Core i5-5287U Core i7-5557U; 162B; Broadwell (Gen8); 384:48:6 (GT3); 300–1100; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; -; 25.6
Iris Pro Graphics 6200; 2015; Core i5-5575R; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1050; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics 6200; 2015; Core i5-5675C Core i5-5675R; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1100; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics 6200; 2015; Core i7-5775C Core i7-5775R; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1150; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics 6200; 2015; Core  i7-5850EQ; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics 6200; 2015; Core  i5-5350H; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1050; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics 6200; 2015; Core  i7-5750HQ Core i7-5850HQ; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1100; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics 6200; 2015; Core  i7-5950HQ; 1622; Broadwell (Gen8); 384:48:6 (GT3); 300–1150; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics P6300; 2015; Xeon E3-1278L v4; 162A; Broadwell (Gen8); 384:48:6 (GT3); 800–1000; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics P6300; 2015; Xeon E3-1265L v4; 162A; Broadwell (Gen8); 384:48:6 (GT3); 300–1050; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
Iris Pro Graphics P6300; 2015; Xeon E3-1285 v4 Xeon E3-1285L v4; 162A; Broadwell (Gen8); 384:48:6 (GT3); 300–1150; 12 FL11_1; 4.4Windows 4.1macOS 4.6Linux ES  3.2Linux; 2.0Windows 1.2macOS 2.1Linux; 1.1Linux; 25.6
